indicator_code,period,value
RETAIL_SALES,2024-08,66900
RETAIL_SALES,2024-09,65200
RETAIL_SALES,2024-10,68500
INDUSTRIAL_PROD,2022-11,105.2
INDUSTRIAL_PROD,2022-12,105.8
INDUSTRIAL_PROD,2023-01,104.6
INDUSTRIAL_PROD,2023-02,105.4
INDUSTRIAL_PROD,2023-03,106.1
INDUSTRIAL_PROD,2023-04,106.8
INDUSTRIAL_PROD,2023-05,107.2
INDUSTRIAL_PROD,2023-06,107.9
INDUSTRIAL_PROD,2023-07,108.3
INDUSTRIAL_PROD,2023-08,108.7
INDUSTRIAL_PROD,2023-09,108.9
INDUSTRIAL_PROD,2023-10,109.2
INDUSTRIAL_PROD,2023-11,109.6
INDUSTRIAL_PROD,2023-12,109.9
INDUSTRIAL_PROD,2024-01,109.4
INDUSTRIAL_PROD,2024-02,110.1
INDUSTRIAL_PROD,2024-03,110.6
INDUSTRIAL_PROD,2024-04,110.9
INDUSTRIAL_PROD,2024-05,111.2
INDUSTRIAL_PROD,2024-06,111.5
INDUSTRIAL_PROD,2024-07,111.3
INDUSTRIAL_PROD,2024-08,111.6
INDUSTRIAL_PROD,2024-09,111.8
INDUSTRIAL_PROD,2024-10,112.4
HOUSING_STARTS,2022-11,1580
HOUSING_STARTS,2022-12,1560
HOUSING_STARTS,2023-01,1490
HOUSING_STARTS,2023-02,1520
HOUSING_STARTS,2023-03,1550
HOUSING_STARTS,2023-04,1570
HOUSING_STARTS,2023-05,1540
HOUSING_STARTS,2023-06,1530
HOUSING_STARTS,2023-07,1510
HOUSING_STARTS,2023-08,1495
HOUSING_STARTS,2023-09,1480
HOUSING_STARTS,2023-10,1510
HOUSING_STARTS,2023-11,1490
HOUSING_STARTS,2023-12,1460
HOUSING_STARTS,2024-01,1390
HOUSING_STARTS,2024-02,1410
HOUSING_STARTS,2024-03,1435
HOUSING_STARTS,2024-04,1450
HOUSING_STARTS,2024-05,1440
HOUSING_STARTS,2024-06,1425
HOUSING_STARTS,2024-07,1410
HOUSING_STARTS,2024-08,1395
HOUSING_STARTS,2024-09,1380
HOUSING_STARTS,2024-10,1420
EXPORTS,2022-11,228400
EXPORTS,2022-12,231200
EXPORTS,2023-01,226800
EXPORTS,2023-02,229500
EXPORTS,2023-03,231800
EXPORTS,2023-04,233400
EXPORTS,2023-05,235100
EXPORTS,2023-06,236800
EXPORTS,2023-07,237500
EXPORTS,2023-08,238200
EXPORTS,2023-09,238600
EXPORTS,2023-10,238900
EXPORTS,2023-11,239800
EXPORTS,2023-12,241200
EXPORTS,2024-01,238500
EXPORTS,2024-02,240100
EXPORTS,2024-03,241800
EXPORTS,2024-04,242600
EXPORTS,2024-05,243200
EXPORTS,2024-06,243900
EXPORTS,2024-07,243100
EXPORTS,2024-08,242500
EXPORTS,2024-09,242800
EXPORTS,2024-10,245600
IMPORTS,2022-11,289600
IMPORTS,2022-12,294200
IMPORTS,2023-01,287400
IMPORTS,2023-02,290800
IMPORTS,2023-03,293500
IMPORTS,2023-04,295800
IMPORTS,2023-05,297600
IMPORTS,2023-06,299200
IMPORTS,2023-07,300100
IMPORTS,2023-08,300800
IMPORTS,2023-09,301000
IMPORTS,2023-10,301200
IMPORTS,2023-11,302400
IMPORTS,2023-12,304800
IMPORTS,2024-01,300500
IMPORTS,2024-02,303200
IMPORTS,2024-03,305400
IMPORTS,2024-04,306800
IMPORTS,2024-05,307600
IMPORTS,2024-06,308400
IMPORTS,2024-07,307900
IMPORTS,2024-08,308500
IMPORTS,2024-09,309100
IMPORTS,2024-10,312400
WAGES,2022-11,1152
WAGES,2022-12,1158
WAGES,2023-01,1164
WAGES,2023-02,1170
WAGES,2023-03,1176
WAGES,2023-04,1182
WAGES,2023-05,1187
WAGES,2023-06,1192
WAGES,2023-07,1196
WAGES,2023-08,1198
WAGES,2023-09,1198
WAGES,2023-10,1198
WAGES,2023-11,1204
WAGES,2023-12,1210
WAGES,2024-01,1216
WAGES,2024-02,1222
WAGES,2024-03,1228
WAGES,2024-04,1233
WAGES,2024-05,1237
WAGES,2024-06,1240
WAGES,2024-07,1242
WAGES,2024-08,1244
WAGES,2024-09,1242
WAGES,2024-10,1247
BUSINESS_CONFIDENCE,2022-11,52.4
BUSINESS_CONFIDENCE,2022-12,51.8
BUSINESS_CONFIDENCE,2023-01,50.2
BUSINESS_CONFIDENCE,2023-02,51.6
BUSINESS_CONFIDENCE,2023-03,52.8
BUSINESS_CONFIDENCE,2023-04,53.4
BUSINESS_CONFIDENCE,2023-05,54.1
BUSINESS_CONFIDENCE,2023-06,54.8
BUSINESS_CONFIDENCE,2023-07,54.5
BUSINESS_CONFIDENCE,2023-08,54.9
BUSINESS_CONFIDENCE,2023-09,55.0
BUSINESS_CONFIDENCE,2023-10,55.2
BUSINESS_CONFIDENCE,2023-11,55.8
BUSINESS_CONFIDENCE,2023-12,56.2
BUSINESS_CONFIDENCE,2024-01,54.8
BUSINESS_CONFIDENCE,2024-02,55.6
BUSINESS_CONFIDENCE,2024-03,56.4
BUSINESS_CONFIDENCE,2024-04,56.8
BUSINESS_CONFIDENCE,2024-05,57.2
BUSINESS_CONFIDENCE,2024-06,57.6
BUSINESS_CONFIDENCE,2024-07,56.9
BUSINESS_CONFIDENCE,2024-08,57.4
BUSINESS_CONFIDENCE,2024-09,57.1
BUSINESS_CONFIDENCE,2024-10,58.3
